,Date,User,Tweet
56,2016-02-12 19:30:33+00:00,MarianeLapierre,Unbelievable 😡 #equalityofsexes https://t.co/Xm0IOqXXaK
57,2016-01-29 15:52:24+00:00,FrChapleau,Please close this office. #Humanrights (notably #equalityofsexes) should prevail. #cndpoli #UN #justice #Canada  https://t.co/r1X97a3g2F
58,2016-01-11 00:20:52+00:00,Seb_Gzh,Il n'y a pas que les filles qui peuvent savoir si au bout de 30mn une relation est envisageable. Certains mecs aussi hein #EqualityOfSexes
59,2015-09-14 09:49:09+00:00,Hariclea,"@cramer_cc @NellinDreams ja, das war seine personliche Antwort auf die Hoschen die er fruher abfing #equalityofsexes ;-)"
60,2015-07-23 11:43:42+00:00,SalouaIbaline,Amen! #womenempowerment #equalityofsexes #womenstrong https://t.co/p8aFzEFqC6
61,2015-07-13 19:55:07+00:00,vip_cyp,@CigdemDRST @AnayasaNevzat @UKinaoglu @can_sozer @BarbarosSansal No better no worse!Here is #EqualityOfSexes
62,2015-07-03 16:09:57+00:00,vivalaczeska,Have a Fierce Friday!!!#FeministFriday  #social #political #economic #equalityofsexes Beyoncé - Flawless (Remix)  http://t.co/TnrtHyO2Ge
63,2015-06-30 11:37:51+00:00,tochie_nacho,Equality of Sexes did not only give  the woman the status of a man But also gave the man the status of a woman. #equalityofsexes
64,2015-05-05 19:37:24+00:00,LeenaPutkonen,"@ilonavehmas Ei, kyllä feminismissä on kyse nimenomaan naisten ongelmista ja tasa-arvoisuuden puutteesta. #definition #equalityofsexes"
65,2015-02-01 06:55:15+00:00,gagan2741,Feminism Over Humanity http://t.co/cBYgxVP8ld via  #Feminism #over #Humanity  #Delhi #metro #blog #post #equalityofsexes #equality
66,2015-01-26 21:35:04+00:00,7adamshafiq,#Beyonce #BeyonceFlawless #Flawless #Feminist #EconomicEqualityofSexes #EqualityOfSexes #Sexes http://t.co/vR8gET0YwB
67,2014-12-15 08:33:53+00:00,aclassicmom,I fail to understand...how come #women are the ones against #equalityofsexes ...#harshrealities #foolish
68,2014-12-08 09:16:39+00:00,VaruNaha,"Also Men.
#EqualityOfSexes
RT ""@indiantweeter: RT if you want government to ban women."""
69,2014-11-17 22:16:13+00:00,SimTheWriter,This is why we need co-ed bathrooms! It would solve SO many problems. #genderequality #equalityofsexes
70,2014-11-09 12:19:04+00:00,carrencara,Beyoncé - Flawless (Remix) ft. Nicki Minaj | queen bey &amp; queen nicki 👑👑😍😍   #equalityofsexes http://t.co/jDG4U0GyE1
71,2014-10-31 04:00:38+00:00,jemangelesoleil,"@prasanto Why should a woman, not raped, enjoy the choice to not disclose father's name? What about a father's rights? #EqualityOfSexes"
72,2014-08-25 03:07:07+00:00,_kaysmi,#EqualityOfSexes #BEY
73,2014-07-21 23:01:52+00:00,8CHill8,"Situation: Went on 3 day Vaca, ate and drank like shit, lost 5 lbs.
Guy: God Dammit!!!
Girl: Hell yeah!!!
#equalityofsexes my arse!!"
74,2014-05-18 08:59:00+00:00,rovihop2,Croquet is an outdoor sport that men and women can play against each other on equal terms due to the handicapping system. #equalityofsexes
75,2014-05-06 13:31:26+00:00,dquintonnavarro,Men Only #sexist - Women Only #equalityofsexes
76,2013-12-16 23:28:04+00:00,jadekrystal_,The #social #political #economic #equalityofsexes #beflawless beyonce did that http://t.co/0afHM6S6GZ
77,2013-05-16 20:23:14+00:00,loopylouiow1,So you can do as you want but i cant?#equalityofsexes
78,2012-10-22 22:16:42+00:00,jennaniganz,Talking to Biblical scholars really gets me fired up. #AwesomeGod #equalityofsexes #smartpeoplearesmart
79,2012-06-27 23:20:05+00:00,WandaCampbell1,I showed my friend  #Mammatus clouds she thought they should be called Tetestus instead! #justsaying #equalityofsexes http://t.co/39VD1xZO
80,2012-06-20 22:10:13+00:00,driveequals,harmony + equality btwn sexes by understanding how tension btwn conflict + cooperation //#equalityofsexes#conflict &gt;&gt; http://t.co/YmBqnMcX
81,2012-02-08 17:02:31+00:00,DeliriousPixie,"#Hypocrisy happened ""@prayingdamsel: Why would people favor #sexism? what happened to #education and #EqualityofSexes?"""
82,2012-02-08 16:48:36+00:00,wordlypilot,Why would people favor #sexism? what happened to #education and #EqualityofSexes?
83,2012-02-01 15:26:40+00:00,zenonah,@telefinn At our home everyone puts the toilet lid down before flushing because we don't want to wash our teeth with shit. #EqualityOfSexes
84,2012-02-01 13:39:10+00:00,telefinn,Women always complain about men not putting the toilet seat down. But surely women should they leave it up for men also! #EqualityOfSexes
85,2011-09-25 07:49:47+00:00,sarinsuares,Daughter's day on a Son-day. #equalityofsexes RT @ullasd @IyerAvin
86,2011-09-25 07:03:35+00:00,anandgupta550,@IyerAvin : A man in wo'man' #equalityofsexes
87,2011-09-25 07:00:47+00:00,Yellow_Magnet,"+1 RT ""@IyerAvin: Daughter's day on a Son-day. #equalityofsexes"""
88,2011-09-25 06:58:31+00:00,ullasd,RT @IyerAvin: Daughter's day on a Son-day. #equalityofsexes
89,2011-07-08 00:32:12+00:00,tennis_diva,"@HDKey O I C. I think I rested my mind on this issue when I thought of it as entertainment value, not workload per se. Also #equalityofsexes"
90,2011-03-02 02:34:39+00:00,Natatah1710,"#TheWhiteHouse says that womyn only make 80% of what a man makes! 
#BULLSHIT 
#WhatHappenedTo #equalityofSEXES?
#SMMFH 
#ladies its time ..."
